train_loss,train_accuracy,train_precision,train_recall,train_f1,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1
0.18098024884918854,0.9476671495762964,0.9476600209266691,0.9476671495762964,0.9476609392707057,0.12494288486792578,0.9786465568565191,0.9788883215845874,0.9786465568565191,0.9786256441583351
0.0682798173083436,0.9779813054436484,0.9779865456340898,0.9779813054436484,0.9779771272491407,0.0643888515500626,0.9807501488390553,0.9808268760344819,0.9807501488390553,0.9807397830450859
0.07057122483908657,0.9780408422473159,0.978042218745069,0.9780408422473159,0.9780377740033132,0.07454625193058008,0.980353244691407,0.980532727978672,0.980353244691407,0.9803369533573956
0.06811987630963799,0.9789934311059953,0.9789972146949838,0.9789934311059953,0.9789898800846132,0.06893980079023215,0.9742012304028577,0.9748344576379759,0.9742012304028577,0.9741573017786532
0.0690040978026532,0.979181964317609,0.9791851632522085,0.979181964317609,0.979178613677142,0.06938814710078732,0.9774161539988093,0.9774150819231803,0.9774161539988093,0.9774143166802347
0.0682067294986475,0.9787949750937704,0.978795889719912,0.9787949750937704,0.9787922589992543,0.06933736302157117,0.9776542964873983,0.9776942325584461,0.9776542964873983,0.9776451791387308
0.06906842127856282,0.9787949750937704,0.9787945707914738,0.9787949750937704,0.9787929016268997,0.08898557585943018,0.9813455050605279,0.9815563787688633,0.9813455050605279,0.981328751092598
0.06898520277606117,0.9789438171029391,0.9789478923732219,0.9789438171029391,0.9789401800541777,0.05730650463108408,0.9809882913276444,0.9812885330884371,0.9809882913276444,0.9809675907687602
0.06870653387099977,0.9788445890968267,0.9788438497884449,0.9788445890968267,0.9788427778624718,0.07759280067863804,0.9782893431236357,0.9783575506094158,0.9782893431236357,0.9782780842257807
0.07059567762627487,0.979102581912719,0.9791033077911863,0.979102581912719,0.9791000112815796,0.08595304201513075,0.980353244691407,0.9805510111896273,0.980353244691407,0.9803361009813438
